bond_id;price_dirty;yield;duration
51771;102.669;0.101;0.02
52016;110.3;0.031;1.95
52025;1.606;null;0.07
52030;110.272;0.031;1.96
52120;101.974;0.097;0.07
52139;116.513;0.047;null
52211;116.557;0.047;null
52327;null;null;null
52407;109.678;0.02;4.46
52491;24.554;0.757;2.29
52558;7.102;2.952;1.23
52607;109.731;0.055;11.88
52813;114.585;0.03;4.39
52823;41.533;0.326;3.53
52898;103.103;0.011;0.56
52933;38.452;0.744;1.7
52948;101.482;0.01;0.5
52982;101.092;0.044;0.13
52989;98.564;0.538;0.13
53020;38.378;0.741;1.71
53029;120.539;0.047;14.05
53030;103.339;0.013;0.57
53055;null;null;null
53067;101.383;0.012;0.14
53089;124.099;0.048;13.78
53093;103.98;0.058;0.19
53094;124.091;0.048;13.78
53109;102.778;0.046;0.18
53112;108.291;0.031;null
53141;785;null;0.78
53168;108.948;0.034;4.59
53178;101.371;0.013;0.15
53182;117.176;0.032;4.4
53187;124.742;0.029;7.96
53206;116.805;0.028;4.44
53226;103.157;0.012;0.65
53227;101.889;0.02;0.21
53248;null;null;null
53263;112.686;0.03;4.49
53293;108.452;0.034;4.58
53302;112.639;0.03;4.5
53359;101.235;0.012;null
53370;108.264;0.031;4.61
53378;37.388;0.468;2.7
53425;108.452;0.034;4.58
53446;101.05;0.01;0.21
53538;120.493;0.047;14.06
53557;103.093;0.049;4.57
53627;102.918;0.059;5.74
53628;103.839;0.099;null
53653;103.747;0.099;null
53779;101.108;0.012;0.33
53784;101.417;0.015;0.11
53802;101.098;0.012;0.34
53811;110.391;0.027;4.79
53817;110.416;0.027;4.78
53970;101.437;0.011;0.11
54055;100.761;0.01;0.36
54084;98.538;0.189;0.35
54092;101.512;0.009;0.41
54101;98.452;0.189;0.36
54112;100.028;null;null
54128;102.332;0.015;0.77
54203;95.275;0.075;4.61
54230;102.33;0.015;0.77
54248;105.352;0.047;1.4
54258;95.293;0.075;4.61
54367;101.904;0.017;0.92
54415;101.904;0.017;0.92
54431;105.998;0.071;4.45
54462;105.323;0.025;0.72
54551;122.744;0.048;13.66
54647;119.93;0.034;null
54858;100.916;0.012;0.58
54948;105.62;0.023;2.58
55040;94.167;0.072;4.77
55045;102.233;0.015;0.98
55046;102.689;0.015;0.73
55077;102.164;-0.015;0.24
55093;103.998;0.015;1.12
55101;102.881;0.013;0.67
55250;103.322;0.016;0.71
55255;105.634;0.023;2.57
55335;101.219;0.017;0.85
55414;132.243;0.048;13.7
55460;102.11;0.016;0.85
55509;101.236;0.019;0.93
55545;103.409;0.02;0.86
55606;null;null;null
